,zip.code,type,num.beds,num.baths,living.area,lot.area,KitchenSqFt,masterbedroomSqFt,age.of.home,myresponse
296,2130,Condo/Townhome/Row Home/Co-Op,2,1,690,0,196,121,114,465000
297,2130,Condo/Townhome/Row Home/Co-Op,3,3,2048,0.047015611,225,180,120,849000
298,2130,Condo/Townhome/Row Home/Co-Op,3,2,1133,0.026010101,144,154,109,840000
299,2130,Single Family Home,4,2.5,2732,0.128856749,169,260,4,1550000
300,2130,Single Family Home,4,2,1646,0.03684573,361,156,119,772600
301,2130,Single Family Home,4,3.5,3060,0.094719927,289,360,119,1185000
302,2130,Condo/Townhome/Row Home/Co-Op,2,1,1080,0,36,195,159,625000
303,2130,Condo/Townhome/Row Home/Co-Op,2,2.5,2169,0,196,165,114,1090000
304,2130,Condo/Townhome/Row Home/Co-Op,1,1,785,0,169,160,134,425000
305,2130,Condo/Townhome/Row Home/Co-Op,2,1,1055,0.024219467,169,165,114,530000
306,2130,Condo/Townhome/Row Home/Co-Op,3,1.5,1202,0.027594123,100,132,114,650000
307,2130,Single Family Home,7,4.5,4854,2,400,224,99,1560000
308,2130,Condo/Townhome/Row Home/Co-Op,2,2,1107,0.025413223,144,156,109,820000
309,2130,Condo/Townhome/Row Home/Co-Op,1,1.5,1057,0,81,225,19,559000
310,2130,Condo/Townhome/Row Home/Co-Op,2,1,1053,0.02151056,196,240,99,660000
311,2130,Condo/Townhome/Row Home/Co-Op,3,3,2280,0,144,225,43,994000
312,2130,Condo/Townhome/Row Home/Co-Op,3,2,1667,0,400,182,119,915000
313,2130,Condo/Townhome/Row Home/Co-Op,2,1,1181,0,121,308,149,552000
314,2130,Single Family Home,3,2.5,1388,0.145018365,196,209,55,760000
315,2130,Condo/Townhome/Row Home/Co-Op,3,2,2294,0,196,204,139,1180000
316,2130,Condo/Townhome/Row Home/Co-Op,3,2.5,1560,0.125321396,36,204,1,685000
317,2130,Condo/Townhome/Row Home/Co-Op,3,2,1269,0,225,143,2,772000
318,2130,Condo/Townhome/Row Home/Co-Op,2,1,1016,0,324,156,114,665000
319,2130,Condo/Townhome/Row Home/Co-Op,2,1,987,0.022658402,225,140,114,6.00E+05
320,2130,Condo/Townhome/Row Home/Co-Op,3,1,1184,0,169,180,104,675000
321,2130,Condo/Townhome/Row Home/Co-Op,2,1,1134,0,64,192,55,450000
322,2130,Condo/Townhome/Row Home/Co-Op,2,1,984,0.022589532,225,154,104,460000
323,2130,Condo/Townhome/Row Home/Co-Op,2,1,959,0,400,168,119,480000
324,2130,Condo/Townhome/Row Home/Co-Op,2,1,1231,0,324,208,119,630000
325,2130,Condo/Townhome/Row Home/Co-Op,2,2,1031,0,256,132,114,749000
